stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220GA00034,0,Marlborough,,53.34924487,-6.257731582,,,,
8220GA00071,0,Charlemont,,53.3308339,-6.258737285,,,,
8220GA00083,0,Beechwood,,53.320929,-6.25475,,,,
8220GA00275,0,Cowper,,53.316398,-6.253499,,,,
8220GA00279,0,Milltown,,53.30967,-6.251616,,,,
8220GA00367,0,Drimnagh,,53.33539132,-6.318285559,,,,
8220GA00369,0,Goldenbridge,,53.335879,-6.313299,,,,
8220GA00373,0,Suir Road,,53.33663752,-6.307259495,,,,
8230GA00338,0,Cookstown,,53.293311,-6.384038,,,,
8230GA00392,0,Fettercairn,,53.293395,-6.395875,,,,
8230GA00396,0,Cheeverstown,,53.291084,-6.406574,,,,
8230GA00416,0,Fortunestown,,53.28431005,-6.424753138,,,,
8230GA00418,0,Saggart,,53.28464,-6.437787,,,,
8250GA00286,0,Dundrum,,53.292375,-6.245234,,,,
8250GA00291,0,Balally,,53.286023,-6.236791,,,,
8250GA00310,0,Central Park,,53.27016803,-6.20389942,,,,
8250GA00313,0,Glencairn,,53.2663249,-6.210132292,,,,
8250GA00316,0,The Gallops,,53.261063,-6.205947,,,,
8250GA00329,0,Laughanstown,,53.250555,-6.155087,,,,
8220GA00409,0,Abbey Street,,53.34859089,-6.258494272,,,,
8220GA00440,0,Harcourt,,53.333631,-6.26283,,,,
8220GA00459,0,Broombridge,,53.372272,-6.29767,,,,
8220GA00471,0,Parnell,,53.35310526,-6.26050348,,,,
8220GA00035,0,Trinity College,,53.34527975,-6.258253746,,,,
8220GA00361,0,Bluebell,,53.32931856,-6.333883625,,,,
8220GA00364,0,Blackhorse,,53.33429937,-6.327563122,,,,
8220GA00376,0,Rialto,,53.33794453,-6.297416684,,,,
8230GA00344,0,Tallaght,,53.287523,-6.374685,,,,
8230GA00354,0,Red Cow,,53.316725,-6.369919,,,,
8250GA00293,0,Sandyford,,53.277533,-6.204714,,,,
8250GA00296,0,Kilmacud,,53.283065,-6.224112,,,,
8250GA00319,0,Leopardstown Valley,,53.258206,-6.198426,,,,
8250GA00326,0,Carrickmines,,53.25440536,-6.171571547,,,,
8250GA00335,0,Brides Glen,,53.241879,-6.142724,,,,
8220GA00379,0,Fatima,,53.33846258,-6.292785785,,,,
8220GA00401,0,Four Courts,,53.34685189,-6.273660411,,,,
8220GA00443,0,Westmoreland,,53.34637,-6.259086,,,,
8220GA00444,0,O'Connell - GPO,,53.348839,-6.259968,,,,
8220GA00479,0,Grangegorman,,53.357115,-6.27747,,,,
8220GA00480,0,Cabra,,53.36432866,-6.282029723,,,,
8220GA00031,0,Dawson,,53.34217543,-6.25801984,,,,
8220GA00059,0,St. Stephen's Green,,53.339197,-6.261319,,,,
8220GA00075,0,Ranelagh,,53.32613194,-6.256196436,,,,
8230GA00341,0,Hospital,,53.289374,-6.378766,,,,
8230GA00351,0,Kingswood,,53.30369079,-6.365506429,,,,
8230GA00412,0,Citywest Campus,,53.28779976,-6.418820111,,,,
8250GA00282,0,Windy Arbour,,53.30174668,-6.250648379,,,,
8250GA00322,0,Ballyogan Wood,,53.254982,-6.184472,,,,
8250GA00332,0,Cherrywood,,53.245317,-6.145975,,,,
8220GA00381,0,James's,,53.34181261,-6.293237662,,,,
8220GA00420,0,Busáras,,53.350045,-6.251598,,,,
8220GA00456,0,Phibsborough,,53.36033055,-6.27902033,,,,
8220GA00470,0,O'Connell Upper,,53.351612,-6.261151,,,,
8220GA00478,0,Dominick,,53.351245,-6.265573,,,,
8220GA00481,0,Broadstone - University,,53.35411632,-6.273802469,,,,
8250GA00297,0,Stillorgan,,53.27936144,-6.21036734,,,,
8220GA00356,0,Kylemore,,53.32652,-6.343697,,,,
8230GA00347,0,Belgard,,53.299145,-6.374808,,,,
8220GA00386,0,Heuston,,53.346697,-6.291618,,,,
8220GA00389,0,Museum,,53.347835,-6.286936,,,,
8220GA00398,0,Smithfield,,53.3471135,-6.278080805,,,,
8220GA00404,0,Jervis,,53.34768301,-6.265275464,,,,
8220GA00423,0,Connolly,,53.350935,-6.249852,,,,
